Epoch,Batch,Time,Time_sum,Loss,Loss_avg
0,0/12672,3.802708,3.802708,4.820619,4.820619
0,1/12672,0.459916,4.262624,4.577489,4.699054
0,2/12672,0.464183,4.726807,4.203716,4.533941
0,3/12672,0.463018,5.189825,4.446587,4.512103
0,4/12672,0.463465,5.653291,4.272067,4.464095
0,5/12672,0.462327,6.115618,4.170576,4.415176
0,6/12672,0.463621,6.579239,4.392929,4.411997
0,7/12672,0.463251,7.042490,4.308346,4.399041
0,8/12672,0.463477,7.505968,4.191991,4.376035
0,9/12672,0.463681,7.969648,4.029428,4.341375
0,10/12672,0.462494,8.432143,4.189045,4.327527
0,11/12672,0.463019,8.895161,4.842199,4.370416
0,12/12672,0.463061,9.358222,4.401582,4.372813
0,13/12672,0.465451,9.823674,4.077009,4.351685
0,14/12672,0.463649,10.287323,4.052037,4.331708
0,15/12672,0.467908,10.755231,4.127211,4.318927
0,16/12672,0.467474,11.222705,4.193254,4.311534
0,17/12672,0.464195,11.686900,4.014798,4.295049
0,18/12672,0.462070,12.148970,4.146360,4.287223
0,19/12672,0.467679,12.616649,4.503747,4.298050
0,20/12672,0.472476,13.089125,4.359505,4.300976
0,21/12672,0.481555,13.570680,4.476201,4.308941
0,22/12672,0.464239,14.034919,4.009084,4.295903
0,23/12672,0.468832,14.503751,4.194814,4.291691
0,24/12672,0.466031,14.969782,4.157522,4.286325
0,25/12672,0.465115,15.434897,4.023940,4.276233
0,26/12672,0.462556,15.897453,4.170603,4.272321
0,27/12672,0.461962,16.359415,4.157136,4.268207
0,28/12672,0.465520,16.824935,4.103899,4.262541
0,29/12672,0.465308,17.290243,3.922143,4.251195
0,30/12672,0.463730,17.753973,3.940346,4.241167
0,31/12672,0.463539,18.217512,4.236061,4.241008
0,32/12672,0.464806,18.682318,4.161240,4.238590
0,33/12672,0.463823,19.146141,3.924979,4.229367
0,34/12672,0.463175,19.609316,4.191103,4.228273
0,35/12672,0.464603,20.073919,4.234539,4.228447
0,36/12672,0.464850,20.538769,4.035455,4.223231
0,37/12672,0.465479,21.004248,4.022322,4.217944
0,38/12672,0.464672,21.468920,3.952152,4.211129
0,39/12672,0.466118,21.935038,4.124051,4.208952
0,40/12672,0.465555,22.400594,3.918419,4.201866
0,41/12672,0.466454,22.867048,3.947569,4.195811
0,42/12672,0.471437,23.338485,4.104764,4.193694
0,43/12672,0.463881,23.802365,3.944198,4.188023
0,44/12672,0.464882,24.267247,4.492708,4.194794
0,45/12672,0.462768,24.730015,4.057340,4.191806
0,46/12672,0.465306,25.195321,4.085475,4.189544
0,47/12672,0.463608,25.658929,4.064232,4.186933
0,48/12672,0.464674,26.123603,3.990559,4.182925
